article,word,tf,idf,tfidf,count,pos,ngd功效,ngd品牌,rank_page
11,抗生素,0.00313603,3.18734871,0.00999561,8,n,0.68553605,0.63379961,2
11,腹瀉,0.00156801,4.39997754,0.00689922,4,v,0.47469595,0.51622196,2
11,指出,0.00274402,3.04309922,0.00835033,7,v,0.9238862,0.58986211,2
11,廠商,0.00235202,3.33977659,0.00785522,6,n,0.77396694,0.36433139,2
11,論述,0.00156801,6.04931988,0.00948541,4,v,0.90776446,0.72596873,2
11,菌數,0.00352803,5.84045861,0.0206053,9,n,0.60189053,0.48111404,2
11,藥性,0.00156801,5.62839444,0.00882539,4,n,0.65371978,0.74770474,2
11,服部,0.00235202,7.87318766,0.01851789,6,n,1.44339757,1.16436434,2
11,糞腸球菌,0.00196002,8.08354073,0.01584387,5,n,0.71889211,0.69681607,2
11,Enterococcus,0.00235202,6.79033609,0.015971,6,eng,1.27376425,1.17085305,2
11,屎腸球菌,0.00235202,7.70974868,0.01813347,6,n,0.81958692,0.84243908,2
11,球菌,0.00548804,4.04301365,0.02218824,14,n,0.78772974,0.72728781,2
11,依賴,0.00274402,4.64509919,0.01274625,7,v,0.62646282,0.44629741,2
11,好菌,0.00274402,4.08231542,0.01120196,7,n,0.65906116,0.58966176,2
11,碧安朵,0.00156801,6.47074093,0.0101462,4,n,0.78076183,0.60008747,2
12,USANA,0.02290951,5.58007633,0.1278368,40,eng,1.05754013,0.98765789,2
12,證實,0.00229095,4.27226046,0.00978754,4,n,0.72361154,0.56709847,2
12,菌株,0.00515464,3.82027627,0.01969215,9,n,0.85506431,0.84921757,2
12,消化系,0.00572738,6.67115113,0.0382082,10,n,0.8115396,0.75828542,2
12,腸道,0.01660939,3.4072645,0.05659259,29,n,0.64503133,0.45462099,2
12,營養素,0.00515464,3.72437609,0.01919781,9,n,0.64519045,0.64298421,2
12,環境,0.00400916,2.78764759,0.01117614,7,n,0.99507491,0.53870626,2
12,過程,0.00343643,3.14514839,0.01080807,6,n,0.5871634,0.33180967,2
12,助您,0.00286369,6.1830646,0.01770637,5,l,0.65342323,0.46457397,2
12,維持,0.00286369,3.00646511,0.00860958,5,v,0.78170653,0.56771673,2
12,好菌,0.00286369,4.08231542,0.01169048,5,n,0.65906116,0.58966176,2
12,幫助,0.0045819,2.38025775,0.01090611,8,v,0.47871527,0.24520063,2
12,消化,0.00744559,1.31953398,0.00982471,13,v,0.65415552,0.72434894,2
12,服用,0.0091638,2.3241683,0.02129822,16,v,0.61441908,0.67584718,2
12,保持,0.00572738,1.52257466,0.00872036,10,v,0.69649858,0.45395104,2
12,益菌,0.00286369,3.5689622,0.0102204,5,n,0.63717312,0.51950463,2
12,補充,0.0045819,2.29196517,0.01050156,8,v,0.56797888,0.39430986,2
12,點擊,0.00286369,3.40511858,0.0097512,5,v,0.97299372,0.54196882,2
12,處購,0.00286369,10.184313,0.0291647,5,v,0.80555968,0.5287228,2
12,細菌,0.01088202,3.561415,0.03875538,19,n,0.62647355,0.55227969,2
12,均衡,0.00286369,2.97809443,0.00852833,5,a,0.85690026,0.67084199,2
12,屏障,0.00286369,4.06765551,0.0116485,5,n,0.65254841,0.62447189,2
12,身體,0.00572738,1.76299544,0.01009734,10,n,0.71843018,0.5165184,2
